Execução,Semáforos,Monitores,Locks/Mutexes
1,2.9185662269592285,2.615875244140625,2.6341781616210938
2,2.749129295349121,3.1900908946990967,2.7964508533477783
3,2.8747942447662354,3.207092761993408,3.091663360595703
4,2.8181512355804443,2.538640022277832,2.5543625354766846
5,2.4216463565826416,3.37272310256958,3.4967143535614014
6,2.660966396331787,2.6105988025665283,2.8180959224700928
7,2.705524444580078,2.6450419425964355,3.212296724319458
8,2.9807558059692383,2.7479450702667236,3.235809564590454
9,2.7284343242645264,3.014564037322998,2.8399269580841064
10,2.965644359588623,2.204796075820923,2.6180520057678223
11,2.7839725017547607,2.624873161315918,2.953756332397461
12,3.8214807510375977,2.691542625427246,2.584437847137451
13,3.4624648094177246,3.2601706981658936,3.297945976257324
14,2.7175681591033936,3.0059802532196045,3.3760292530059814
15,2.3614957332611084,2.8091487884521484,3.7492430210113525
16,2.7933292388916016,3.275846004486084,2.745522975921631
17,3.1359851360321045,2.743633270263672,3.1084587574005127
18,3.179483652114868,3.0419414043426514,2.97971248626709
19,2.778252124786377,2.352381944656372,3.6678247451782227
20,3.3093385696411133,2.7464778423309326,2.9940412044525146
21,3.0674846172332764,3.0195419788360596,2.6672756671905518
22,3.033949375152588,2.8008413314819336,3.189300298690796
23,2.965141773223877,3.0041096210479736,3.384354591369629
24,3.1424553394317627,2.6663451194763184,2.742570161819458
25,2.6541526317596436,2.8530189990997314,3.3943374156951904
26,3.247048854827881,2.8313419818878174,3.435537815093994
27,3.234729051589966,3.0388481616973877,2.931717872619629
28,3.047950267791748,2.7325761318206787,3.0731029510498047
29,2.8740766048431396,2.8813977241516113,3.3057496547698975
30,2.8468308448791504,3.4280428886413574,2.5317933559417725
31,3.4604594707489014,3.071863889694214,3.3235747814178467
32,2.3036599159240723,2.784477472305298,3.2204771041870117
33,3.1879465579986572,3.1549150943756104,3.1584699153900146
34,3.2367117404937744,3.3348026275634766,2.5321011543273926
35,3.2011947631835938,2.920916795730591,3.1413938999176025
36,3.3005475997924805,3.026951313018799,2.3269684314727783
37,3.10601544380188,2.689767837524414,3.4076545238494873
38,2.9401791095733643,3.2403550148010254,3.05452561378479
39,3.333996057510376,2.850220203399658,3.0678908824920654
40,2.8651256561279297,2.524090051651001,2.4464499950408936
41,2.929281234741211,3.437248468399048,3.2688989639282227
42,2.965900421142578,2.828598976135254,2.9826114177703857
43,2.3601973056793213,3.1366331577301025,3.039987325668335
44,2.8241095542907715,2.78027606010437,3.1407413482666016
45,3.1463353633880615,2.99509859085083,2.7052485942840576
46,3.168595552444458,3.071434736251831,3.145087242126465
47,2.7826130390167236,3.600851535797119,2.927086591720581
48,2.999011516571045,3.0666747093200684,2.712937355041504
49,3.188436508178711,2.729680299758911,2.601536273956299
50,3.1293246746063232,3.110944986343384,2.9447314739227295
51,2.74890398979187,3.367424488067627,2.762206792831421
52,3.2461659908294678,2.678107738494873,2.898273468017578
53,2.8971242904663086,2.726357936859131,2.791781187057495
54,3.1885311603546143,3.5569028854370117,3.2734460830688477
55,2.578360080718994,2.5734870433807373,3.27297043800354
56,3.0172221660614014,2.912386178970337,3.258995771408081
57,2.795139789581299,3.3483266830444336,2.674205780029297
58,3.2399117946624756,3.0909104347229004,2.6946921348571777
59,2.9099650382995605,2.5130927562713623,3.1221389770507812
60,3.034640312194824,3.048853874206543,2.9229071140289307
61,2.507465362548828,2.252572774887085,3.0777201652526855
62,3.109380006790161,3.2885327339172363,2.85231614112854
63,2.5836782455444336,2.8729002475738525,2.5960423946380615
64,2.477296829223633,3.385253667831421,3.2611570358276367
65,3.018594980239868,2.9722180366516113,2.932936906814575
66,2.8797876834869385,3.060526132583618,2.5020060539245605
67,3.0351762771606445,2.9566423892974854,2.693211793899536
68,2.663544178009033,3.6834964752197266,3.0819082260131836
69,3.360447645187378,2.4612362384796143,2.9308812618255615
70,2.085653781890869,3.2148423194885254,3.3011837005615234
71,2.5662128925323486,2.515549421310425,3.2110602855682373
72,2.678246259689331,3.0880699157714844,2.4693877696990967
73,2.6964757442474365,3.0386099815368652,2.451340913772583
74,3.3654205799102783,3.1858038902282715,2.912862777709961
75,3.1697516441345215,2.8989346027374268,2.961226463317871
76,2.790358304977417,2.4502556324005127,2.602307081222534
77,3.406203508377075,3.106818675994873,3.1693856716156006
78,2.791194438934326,3.099153757095337,2.8577659130096436
79,2.499150037765503,2.815896987915039,2.8086659908294678
80,2.8763082027435303,2.625924825668335,2.7588915824890137
81,2.5195305347442627,2.3325936794281006,3.409332275390625
82,3.1989212036132812,2.9366188049316406,2.5718603134155273
83,3.240434408187866,3.03739333152771,3.0411832332611084
84,3.001567840576172,3.161264181137085,3.1059093475341797
85,3.1307389736175537,2.679621696472168,3.142573833465576
86,3.454972743988037,2.884657144546509,3.263221502304077
87,3.4478354454040527,3.368375539779663,3.329238176345825
88,3.1493473052978516,2.9379019737243652,2.908608913421631
89,2.9295177459716797,3.092477560043335,2.7563812732696533
90,2.3611881732940674,2.9538686275482178,2.923459768295288
91,3.1780872344970703,2.7213199138641357,2.800328016281128
92,2.812893867492676,2.492846727371216,2.7946884632110596
93,2.713984727859497,3.2290050983428955,2.7820775508880615
94,3.288102626800537,3.1828625202178955,2.8498871326446533
95,2.782649517059326,2.7350656986236572,3.2820205688476562
96,2.958927869796753,2.8825371265411377,3.4452574253082275
97,3.134446859359741,3.002885341644287,2.5048584938049316
98,2.981334924697876,3.0634844303131104,2.8970446586608887
99,3.572037935256958,2.5139646530151367,2.788602590560913
100,2.9199044704437256,3.074704885482788,3.2207276821136475
