Execução,Semáforos,Monitores,Locks/Mutexes
1,3.2300686836242676,1.8657565116882324,1.782010793685913
2,2.0552053451538086,1.8390653133392334,1.9146313667297363
3,1.7385399341583252,1.919001579284668,2.0453333854675293
4,1.8749027252197266,2.0621519088745117,1.8090424537658691
5,2.156632900238037,1.9064133167266846,2.260213851928711
6,2.162616014480591,1.6610369682312012,1.9936487674713135
7,2.6016340255737305,1.814197301864624,1.8245606422424316
8,1.842224359512329,1.9594707489013672,2.1585397720336914
9,1.8065080642700195,1.9804656505584717,1.7922203540802002
10,3.1438167095184326,2.3150370121002197,1.6835627555847168
11,2.7552409172058105,1.7730207443237305,1.966261863708496
12,2.0312864780426025,1.7024600505828857,1.8808634281158447
13,2.339775323867798,1.8299915790557861,1.6493687629699707
14,1.9629998207092285,1.9181678295135498,1.7813997268676758
15,2.060351610183716,1.9570872783660889,1.783055305480957
16,2.020875930786133,1.8749454021453857,1.7236764430999756
17,2.3651645183563232,1.7089033126831055,1.7384743690490723
18,1.7001376152038574,1.8237500190734863,2.157942771911621
19,1.818373441696167,1.8757572174072266,1.9976069927215576
20,2.2042665481567383,1.886289119720459,2.1709611415863037
21,1.663632869720459,1.848088264465332,1.934248924255371
22,2.058652639389038,1.8166961669921875,1.8724024295806885
23,1.8829383850097656,1.8971118927001953,1.6031289100646973
24,1.8171992301940918,1.9569423198699951,1.78633713722229
25,2.789461135864258,1.711073398590088,3.3107101917266846
26,1.891413927078247,2.024538278579712,1.9810073375701904
27,2.136132001876831,1.7849442958831787,1.8546414375305176
28,2.8878862857818604,1.932093858718872,1.785701036453247
29,2.3661563396453857,1.7847442626953125,3.6384692192077637
30,1.9570014476776123,1.9395544528961182,1.572922706604004
31,1.6968603134155273,1.7518632411956787,2.580005645751953
32,2.022091865539551,1.8187220096588135,2.722409248352051
33,1.6578021049499512,1.867133378982544,2.047795295715332
34,1.8799879550933838,2.057359218597412,1.7834579944610596
35,1.7612836360931396,1.983248233795166,1.9124019145965576
36,1.6923942565917969,1.8496456146240234,2.0582823753356934
37,3.4167940616607666,1.793628454208374,2.6773324012756348
38,2.7536261081695557,1.9486472606658936,3.154845952987671
39,2.060213565826416,1.802440881729126,2.8687262535095215
40,1.4657981395721436,2.0623018741607666,2.2305665016174316
41,2.1164677143096924,1.905604600906372,1.9360172748565674
42,1.756761074066162,2.0769715309143066,3.1973352432250977
43,3.297773599624634,2.079538106918335,1.8218920230865479
44,1.9048962593078613,1.8751695156097412,2.209118366241455
45,3.3509631156921387,1.8689391613006592,1.835214614868164
46,2.362687826156616,1.8294892311096191,1.8525416851043701
47,1.8762106895446777,1.9138374328613281,1.888498067855835
48,1.9136278629302979,1.6697633266448975,2.0678513050079346
49,2.6506423950195312,2.0969138145446777,2.680760622024536
